property group allowed for purpose CFIHOS unique code,property grouping or decomposition purpose CFIHOS unique code,property grouping purpose code,property grouping purpose description,source standard CFIHOS unique code,source standard code,property group CFIHOS unique code,property group code,property group description,property to group assignment CFIHOS unique code,tag or equipment class CFIHOS unique code,tag or equipment class name,property CFIHOS unique code,property name,property sequence number,,,,,,,,data_origin,is_real,source_artifact_id,source_archive_member,source_row,annotation_origin,verification_status
CFIHOS-42000468,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000212,S704-FLD-361,Motor construction,CFIHOS-44000106,CFIHOS-30000805,alternating current motor,CFIHOS-40000099,electric motor cooling method,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,106,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000390,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000134,S703-FLD-331,Site conditions,CFIHOS-44000107,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,107,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000412,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000156,S703-FLD-354,Site conditions,CFIHOS-44000108,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,108,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000434,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000178,S704-FLD-321,Site conditions,CFIHOS-44000109,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,109,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000461,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000205,S704-FLD-354,Site conditions,CFIHOS-44000110,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,110,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000490,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000237,S733-FLD-84,Site conditions,CFIHOS-44000111,CFIHOS-30000805,alternating current motor,CFIHOS-40000739,elevation over mean sea level,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,111,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000490,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000237,S733-FLD-84,Site conditions,CFIHOS-44000112,CFIHOS-30000805,alternating current motor,CFIHOS-40001376,environmental corrosiveness,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,112,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000390,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000134,S703-FLD-331,Site conditions,CFIHOS-44000113,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,113,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000412,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000156,S703-FLD-354,Site conditions,CFIHOS-44000114,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,114,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000434,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000178,S704-FLD-321,Site conditions,CFIHOS-44000115,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,115,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000461,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000205,S704-FLD-354,Site conditions,CFIHOS-44000116,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,116,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000490,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000237,S733-FLD-84,Site conditions,CFIHOS-44000117,CFIHOS-30000805,alternating current motor,CFIHOS-40000944,environmental location,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,117,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000118,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,118,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000119,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,119,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000120,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,120,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000121,CFIHOS-30000805,alternating current motor,CFIHOS-40001333,explosion protected atmosphere,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,121,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000122,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,122,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000123,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,123,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000124,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,124,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000125,CFIHOS-30000805,alternating current motor,CFIHOS-40000108,explosion protection concept,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,125,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000126,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,126,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000127,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,127,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000253,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000231,S733-FLD-102,Motors for hazardous locations,CFIHOS-44000128,CFIHOS-30000805,alternating current motor,CFIHOS-40001361,explosion protection dust group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,128,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000129,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,129,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000130,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,130,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000131,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,131,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000132,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,132,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000253,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000231,S733-FLD-102,Motors for hazardous locations,CFIHOS-44000133,CFIHOS-30000805,alternating current motor,CFIHOS-40000110,explosion protection gas group,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,133,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000134,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,134,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000135,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,135,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000136,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,136,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000137,CFIHOS-30000805,alternating current motor,CFIHOS-40000111,explosion protection notified body,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,137,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000407,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000151,S703-FLD-349,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000138,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,138,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000429,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000173,S703-FLD-372,Motors intended for use in potentially explosive atmospheres,CFIHOS-44000139,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,139,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000457,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000201,S704-FLD-349,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000140,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,140,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000484,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000228,S704-FLD-382,Motors rated for use in potentially explosive atmospheres,CFIHOS-44000141,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,141,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000253,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000231,S733-FLD-102,Motors for hazardous locations,CFIHOS-44000142,CFIHOS-30000805,alternating current motor,CFIHOS-40000112,explosion protection temperature class,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,142,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000253,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000231,S733-FLD-102,Motors for hazardous locations,CFIHOS-44000143,CFIHOS-30000805,alternating current motor,CFIHOS-40000113,explosion protection zone,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,143,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000144,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,144,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000145,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,145,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000146,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,146,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000147,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,147,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000148,CFIHOS-30000805,alternating current motor,CFIHOS-40000862,external axial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,148,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000388,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000132,S703-FLD-329,Duty,CFIHOS-44000149,CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,149,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000410,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000154,S703-FLD-352,Duty,CFIHOS-44000150,CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,150,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000433,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000177,S704-FLD-319,Driven equipment interface,CFIHOS-44000151,CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,151,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000460,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000204,S704-FLD-352,Driven equipment interface,CFIHOS-44000152,CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,152,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000498,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000245,S733-FLD-94,Bearings,CFIHOS-44000153,CFIHOS-30000805,alternating current motor,CFIHOS-40000861,external radial loading on the motor shaft end,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,153,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000496,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000318,IOGP S-733:2022,CFIHOS-42000243,S733-FLD-92,Fan,CFIHOS-44000154,CFIHOS-30000805,alternating current motor,CFIHOS-40001390,fan impeller material,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,154,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000428,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000068,IOGP S-703:2020,CFIHOS-42000172,S703-FLD-371,Converter-fed motor data,CFIHOS-44000155,CFIHOS-30000805,alternating current motor,CFIHOS-40001335,fine balancing above rated speed requirements,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,155,source_reference_record,source_reference_record_unreviewed
CFIHOS-42000453,CFIHOS-42000503,Procurement,Procurement purpose shows all properties,CFIHOS-90000111,IOGP S-704:2021,CFIHOS-42000197,S704-FLD-344,Vibration,CFIHOS-44000156,CFIHOS-30000805,alternating current motor,CFIHOS-40000901,first lateral critical speed,,,,,,,,,real,True,sha256:a69b98012d9e4a46495a3aed48eef8ce75a69d001eaa28b4c38cb0f3c921909d,CORE CFIHOS V2.0 CSV/CFIHOS CORE property groupings v2.0.csv,156,source_reference_record,source_reference_record_unreviewed
