Treatment Title,Treatment Details,Treatment Stage,Treatment Type,Risk Category,Risk Location,Element Type,Risk Factor,Construction Scope,Associated Activity
A permanent warning sign to be fixed near the area where the roof is covered with fragile material.,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Pitched roof,Physical-Edge,In situ concrete,Install construction
Consider alternatives to tube and fitting scaffoldings. ,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Make provisions for scaffolding or anchors.,,Preliminary Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Inform designers to provide the information required to help the temporary works coordinator,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Consider potential for designing temporary works which can become permanent i.e. do not require removal,,Preliminary Design,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
A metal bracket is permanently connected to a concrete floor deck or steel.,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
"Scaffolds should be designed, erected, altered and dismantled only by competent people and the work should always be carried out under the direction of a competent supervisor.",,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Ensure that the preferred solution takes advantage of new developments in access equipment.,,Pre construction,Reduce,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
TW designer to specify when permanent strength of structure is achieved and temporary supports can be removed,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Contractor to identify safety critical elements of temporary works and ensure site operatives understand which elements  cannot be disturbed. ,,Pre construction,Inform,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Provide a 180 degree hook or impaling cap on the end of all wall reinforcing bars.,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Temporary structure,Task-Temporary structure,In situ concrete,Install construction
Design roof as one level not two,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use
Redesign the plant and controls to prevent the need of going to the roof,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use
Use staircase not CAT ladder,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use
Provide edge protection,,Detail Design,Eliminate,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use
Provide a restrain system on the roof,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Opening - Shaft,Flat roof,Physical-Edge,Access to plant room,Use
Use shallow foundations to prevent excavation where possible,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Use side strip and piling methods where possible,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Batter sides of excavation,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Use interlocking sheet piles,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Use secant piles,,Preliminary Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Use trenchboxes,,Preliminary Design,Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Inform design and construction team of ground conditions,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Supply piling technique information to the design and construction team,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Supply information on excavation battering to the design and construction team,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Carry out risk study to ensure extreme weather condition is taken into account,,Preliminary Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Plan to place the excavated soil away from the excavation area,,Detail Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Make sure there is enough space to move and store materials around the excavation ,,Detail Design,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Keep traffic routes at safe margin from excavations,,Detail Design,Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Ensure a section in the site traffic management plan to take account of excavations,,Detail Design,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Ensure proposed working methods (e.g. vibration) do not compromise the excavation's stability,,Pre construction,Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Ensure that groundworks contractors are informed of all relevant safety information,,Pre construction,Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Earthwork support system to be placed and inspected,,"Site work, Temp Works, Change control",Reduce,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Safe placing of spoil during excavation,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Maintain weekly inspection of excavation,,"Site work, Temp Works, Change control",Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Ensure full risk assessment is carried out if the excavations need late change,,"Site work, Temp Works, Change control",Inform,Trapped-Unintended collapse,Site logistics-Excavation area,Raft foundation,Task-Excavation,General excavation,Install construction
Consider another solution instead of excavation,,Preliminary Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Eliminate the need for props (e.g. reinforced ring beam),,Preliminary Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Evaluate alternatives to using large props,,Preliminary Design,Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Designer input into prop proposal,,Preliminary Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
"Commision risk study to validate size, fixings and props needed",,Preliminary Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Test integrity of props for supporting load,,Detail Design,Eliminate,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Consider making the props part of the permanent works,,Detail Design,Reduce,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Make sure there are permits to load to install and remove props agreed with temporary works,,Detail Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Create a temporary works design brief covering installation risks,,Detail Design,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Detail plan to control risks in sequence of installation and removal,,Pre construction,Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Provide risk information to prop installers and removers,,Pre construction,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Make sure there is a lifting plan in place to remove the props safely,,Pre construction,Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Monitoring props (e.g. using sensors),,"Site work, Temp Works, Change control",Reduce,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Validating the installation as designed by testing fixings,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Avoid working in the area until the props are removed,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Inspect the state of the props daily,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,Site logistics-Excavation area,Temporary structure,Physical-Collapse,Deep basements and shafts,Install construction
Consider alternative excavation methods that do not require heavy machinery,,Preliminary Design,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Consider ground level design alternatives for basements and shafts,,Preliminary Design,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Work with the topography to reduce the amount of excavation,,Preliminary Design,Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Plan excavation work to reduce the number of excavators needed on site,,Preliminary Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
"Provide information about site survey, buried structures, services, soil contamination, overhead power lines",,Preliminary Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Consider piling methods to reduce excavation,,Detail Design,Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Make sure that excavation activites do not overlap with other activities in the same area,,Detail Design,Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Eliminate the need of having people around the excavator,,Pre construction,Eliminate,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Produce site logistics/traffic management plan to make sure pedestrians are segregated,,Pre construction,Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Use excavator stop blocks to create safe areas for adjacent workers ,,"Site work, Temp Works, Change control",Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Ensure suitable barriers are in place around open excavations,,"Site work, Temp Works, Change control",Reduce,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
"Ensure equipment is fit for purpose and meets driver visibility standards (e.g. mirrors, etc.)",,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Use wearable sensors for the operators that need to be working near the excavator,,"Site work, Temp Works, Change control",Inform,Struck-By machinery or part,Site logistics-Excavation area,N/A,Task-Excavation,Deep basements and shafts,Install construction
Consider alternative method of lifting in order to avoid the need to blind lift,,Preliminary Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Review with contractor frequency and weight of lifts to optimise lifting operations,,Preliminary Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Commision of service lift earlier. Replace canti-deck with service lifts,,Preliminary Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Consider using pods manufactured offsite to reduce number of lifts,,Preliminary Design,Control by subsequent design,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Early contractor involvement in planning lifting operations,,Preliminary Design,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Consider whether the use of a mobile crane would be effective in elimiating blind lifts,,Detail Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Consider helicopter lift,,Detail Design,Eliminate,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Assess location of canti-deck as a factor in causing blind lifts,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Consider relocating access to the floor for lifted,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Replace canti-deck by hoist to load the floors with materials,,Detail Design,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
"Design lifting plan created by permanent work designers in cooperation with PD, temporary works designer, lifting specialist and the PC",,Detail Design,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Sequence lifting operations to avoid clashes with other trades,,Pre construction,Reduce,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Coordinate deliveries in order to place pods in sequence on the floors as you go up,,Pre construction,Control by subsequent design,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Introduce a permit to lift for blind and complex lifts,,Pre construction,Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
All blind lifts to be supervised by a trained and authorised supervisor,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Authorised and trained lifting team communicating with radios,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Utilise a hook-camera to allow the operator to see what's underneath,,"Site work, Temp Works, Change control",Inform,Handling-Mechanical lifting operation,Site logistics-Crane area,Temporary structure,Task-Lifting,"General civil engineering, including small works",Install construction
Batter sides of excavation,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Consider using interlocking sheet piles if applicable,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Use trenchboxes,,Preliminary Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Inform design and construction team of ground conditions,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Supply information on excavation battering to the design and construction team,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Carry out risk study to ensure extreme weather condition is taken into account,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Plan to place the excavated soil away from the excavation area,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Make sure there is enough space to move and store materials around the excavation ,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Keep traffic routes at safe margin from excavations,,Detail Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Ensure a section in the site traffic management plan to take account of excavations,,Detail Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Ensure proposed working methods (e.g. vibration) do not compromise the excavation's stability,,Pre construction,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Ensure that groundworks contractors are informed of all relevant safety information,,Pre construction,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Earthwork support system to be placed and inspected,,"Site work, Temp Works, Change control",Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Safe placing of spoil during excavation,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Maintain weekly inspection of excavation,,"Site work, Temp Works, Change control",Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Ensure full risk assessment is carried out if the excavations need late change,,"Site work, Temp Works, Change control",Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,N/A,Physical-Collapse,General excavation,Install construction
Consider trenchless excavation construction methods (e.g. directional drilling),,Preliminary Design,Eliminate,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Eliminate the need of excavation,,Preliminary Design,Eliminate,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Batter sides of excavation,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Consider using interlocking sheet piles if applicable,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Consider fitting multiple services in one trench system,,Preliminary Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Use trenchboxes,,Preliminary Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Inform design and construction team of ground conditions,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Supply excavation technique information to the design and construction team,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Supply information on excavation battering to the design and construction team,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Carry out risk study to ensure extreme weather condition is taken into account,,Preliminary Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Plan to place the excavated soil away from the excavation area,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Make sure there is enough space to move and store materials around the excavation ,,Detail Design,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Keep traffic routes at safe margin from excavations,,Detail Design,Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Ensure a section in the site traffic management plan to take account of excavations,,Detail Design,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Ensure proposed working methods (e.g. vibration) do not compromise the excavation's stability,,Pre construction,Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Ensure that groundworks contractors are informed of all relevant safety information,,Pre construction,Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Earthwork support system to be placed and inspected,,"Site work, Temp Works, Change control",Reduce,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Safe placing of spoil during excavation,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Maintain weekly inspection of excavation,,"Site work, Temp Works, Change control",Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Ensure full risk assessment is carried out if the excavations need late change,,"Site work, Temp Works, Change control",Inform,Trapped-Crushed by excavation,Site logistics-Excavation area,Mechanical equipment,Physical-Collapse,Trenches for foundations and services,Install construction
Consider using concrete stairs,,Preliminary Design,Eliminate,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Sequence the work to ensure protective escape stairs in core building to be available for the workforce as soon as possible,,Preliminary Design,Reduce,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Eliminate welding by using bolted prefabricated units,,Detail Design,Eliminate,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Make sure there is a fire safety plan for the construction site,,Pre construction,Inform,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Provide adequate means of escape,,"Site work, Temp Works, Change control",Reduce,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Ensure no flammable waste near welding operations,,"Site work, Temp Works, Change control",Control by subsequent design,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Use protective curtains around the welding area to contain sparks,,"Site work, Temp Works, Change control",Control by subsequent design,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Make sure there are fire alarms in place and tested before welding,,"Site work, Temp Works, Change control",Inform,Event-Fire or explosion,Site logistics-Welding area,Stair,Task-Welding,General steelwork,Install construction
Ensure that there are toe boards fitted to edge protection on all open edges,,Detail Design,Reduce,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Introduce Working at Perimeter Edge Safety Procedure,,Detail Design,Inform,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Inform temporary works designers and specialists suppliers of need to prevent falling objects during installation,,Detail Design,Inform,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Contractor to be informed of the need for a WAPE training,,Pre construction,Inform,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Allow access to façade team installation with an exclusion zone to WAPE trained personal,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Mandatory use of tethers on all tools and include checklists with and authorized WAPE permit,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Mandatory use of tethers/magnetised holders on all tools and include checklists with an authorized WAPE permit,,"Site work, Temp Works, Change control",Control by subsequent design,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Create exclusion zone for people underneath,,"Site work, Temp Works, Change control",Inform,Struck-By falling object,High Level-Near Edge,Cladding,Physical-Edge,External Cladding,Install construction
Cast in provision for guardrails at shaft openings,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Lift,Physical-Opening,"Lifts, escalators and auto walks",Install construction
Install temporary lift shaft doors. Ensure they can't be accidentally opened or easily removed,,Pre construction,Reduce,Fall-From open edge,High Level-Near Opening - Shaft,Lift,Physical-Opening,"Lifts, escalators and auto walks",Install construction
Information to contractor -specify activities that will require access to lift shaft to resource and plan for access measures,,Pre construction,Inform,Fall-From open edge,High Level-Near Opening - Shaft,Lift,Physical-Opening,"Lifts, escalators and auto walks",Install construction
Competent person to sign off any access arrangements at height in the shaft,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Opening - Shaft,Lift,Physical-Opening,"Lifts, escalators and auto walks",Install construction
Use prefabricated elements to reduce the need of noisy operations on internal walls,,Preliminary Design,Reduce,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Specify cable trays and wall fixings and fittings to be manufactured offsite,,Detail Design,Reduce,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Provide dedicated noise-reduction area for operations involving cutting/drilling/etc,,Pre construction,Control by subsequent design,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Ensure a noise risk assessment is carried out and PPE/hearing protection is available if needed,,Pre construction,Inform,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Monitor noise levels (decibels) to see if it reaches action levels,,"Site work, Temp Works, Change control",Control by subsequent design,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Restrict workers to timed exposure to noise,,"Site work, Temp Works, Change control",Inform,Mechanical Effect-Noise,Site work area,Internal Wall,Physical-Noise,Masonry,Install construction
Move the columns away from the edges,,Preliminary Design,Eliminate,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Consider pre-cast columns,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Consider designing steel structure,,Preliminary Design,Reduce,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Sequence scaffolding earlier to provide a proper working platform,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Selection of formwork to ensure safe access,,Detail Design,Reduce,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Design anchoring points,,Detail Design,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Create a detailed plan with formwork specialist supplier to ensure safe access during build,,Pre construction,Control by subsequent design,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Use fall-restrain lanyards for people and equipment,,"Site work, Temp Works, Change control",Control by subsequent design,Fall-From open edge,High Level-Near Edge,Column,Physical-Edge,In situ concrete,Install construction
Consider pre-cast slabs to avoid in situ work,,Preliminary Design,Eliminate,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Consider higher strength concrete to shorten strike time,,Detail Design,Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Carry out a detailed risk study to determine propping and de-propping schedule,,Detail Design,Inform,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Provide the TW designer with information on temporary load conditions and load transfers and limitations,,Detail Design,Inform,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Consider digital monitoring to get real time information on concrete curing,,Pre construction,Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
"Monitor weather conditions and known causes of collapse, such as exceeding safe working loads",,Pre construction,Inform,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Create a detail plan to place and remove formwork according to manufacturer's recommendations,,Pre construction,Inform,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
Ensure compressive strength is tested to verify concrete has achieved design strength,,"Site work, Temp Works, Change control",Control by subsequent design,Trapped-Unintended collapse,Site work area,Slab,Physical-Collapse,In situ concrete,Install construction
